GENES,num_variants
PDHA1,12
PDE6C,12
PARK2,12
NRAS,12
NIPA1,12
NDUFV1,12
NDUFS7,12
NDUFS1,12
NBEAL2,12
MYO5B,12
MOGS,12
MKKS,12
MESP2,12
MAPT,12
LITAF,12
IL17RA,12
IL12RB1,12
HPS5,12
HGSNAT,12
GRIP1,12
FHL2,12
EFEMP2,12
EARS2,12
DLL3,12
DCX,12
CYP4V2,12
CTRC,12
COG4,12
CLCN7,12
CHRNA1,12
CCDC78,12
BLK,12
BBS4,12
ANKRD11,12
AMACR,12
ALAS2,12
ADA,12
ACAD8,12
YARS,11
WDR19,11
TTC8,11
TTC19,11
TNXB,11
TNFRSF1A,11
TNFRSF11A,11
TMEM5,11
TINF2,11
TAZ,11
SLC29A3,11
PTPRC,11
PROKR2,11
PRICKLE2,11
PRF1,11
POR,11
POLG2,11
PNKD,11
PIGN,11
PEX5,11
NUBPL,11
NHLRC1,11
NCF2,11
MARVELD2,11
MAP2K1,11
LEFTY2,11
LAMA3,11
KAT6B,11
ILK,11
HPS6,11
GPR179,11
GLIS3,11
GJB6,11
GDAP1,11
GABRB3,11
FOXP2,11
FOXP1,11
FANCL,11
FANCG,11
FA2H,11
F11,11
EGR2,11
COQ2,11
COCH,11
CEP41,11
BUB1B,11
ALG2,11
ACE,11
ACAD9,11
ABAT,11
WNT10A,10
WDPCP,10
WAS,10
UMOD,10
UBA1,10
TYRP1,10
TPO,10
TOPORS,10
TMEM70,10
TK2,10
TGIF1,10
TCTN3,10
STIM1,10
STAT3,10
ST3GAL5,10
SNRNP200,10
SMARCA2,10
SLC17A5,10
SH3PXD2B,10
SH3BP2,10
SCO2,10
SCNN1G,10
SCN4B,10
SCN3B,10
REEP1,10
RBBP8,10
PRPH2,10
PROP1,10
PRKCSH,10
PINK1,10
PIGV,10
PHKA2,10
PGAM2,10
NLRP7,10
MASTL,10
LRIT3,10
KRIT1,10
KCNQ4,10
KCNE2,10
IQCB1,10
HPS3,10
HMGCS2,10
HCN1,10
GHR,10
GATM,10
GATAD1,10
FOXRED1,10
FOXN1,10
FBLN5,10
FAS,10
FAM134B,10
F8,10
EXOSC3,10
EDNRB,10
DDOST,10
DARS2,10
COMP,10
COG7,10
CNGA3,10
B3GALNT2,10
ARSE,10
ARSB,10
AR,10
AIFM1,10
AGPS,10
ACAT1,10
ABCD4,10
ABCB7,10
ZFYVE27,9
ZFPM2,9
WRAP53,9
TRPM1,9
TRPC6,9
TP63,9
TNNI2,9
TMEM126A,9
TFR2,9
TCN2,9
SLC5A1,9
SLC26A5,9
SLC24A1,9
SLC17A8,9
SGK196,9
SFTPB,9
SERPINI1,9
SDCCAG8,9
SCN3A,9
SARS2,9
PSAP,9
PEX26,9
PAX3,9
OTOA,9
OPTN,9
NR2E3,9
NODAL,9
NDUFS8,9
NDUFS2,9
NCF4,9
MTO1,9
MPV17,9
MMADHC,9
MMAA,9
MC4R,9
MATR3,9
MATN3,9
MARS,9
MAGI2,9
LRRC6,9
LPIN1,9
LMBRD1,9
LIPA,9
KMT2A,9
KIAA2022,9
ITGB3,9
IRF6,9
IGF1R,9
HADHB,9
GRN,9
GNPAT,9
GLUD1,9
GDF1,9
GCH1,9
FUS,9
ESCO2,9
ERCC2,9
EPB42,9
ENPP1,9
ENO3,9
EIF2AK4,9
EGFR,9
DTNBP1,9
DLAT,9
CSTB,9
CSPP1,9
CRYAB,9
COQ9,9
COG8,9
CEP164,9
CALR3,9
BSND,9
BIVM-ERCC5,9
AUH,9
ATP6AP2,9
ASPA,9
AP4E1,9
ANK3,9
ALG12,9
ABCG5,9
ZAP70,8
XPC,8
USH1G,8
TSEN34,8
TRPS1,8
TGM1,8
TFG,8
TECPR2,8
TDRD7,8
SUMF1,8
STAT1,8
SPG20,8
SOX9,8
SMAD9,8
SLC4A11,8
SLC19A2,8
SERPINH1,8
SEC63,8
SCNN1A,8
RIPK4,8
RIN2,8
RFT1,8
PRDM5,8
PNPT1,8
PHYH,8
PDSS1,8
PAX4,8
OPHN1,8
NOBOX,8
NHP2,8
MPDU1,8
MERTK,8
MCOLN1,8
LTBP2,8
LRTOMT,8
