GENES,conflicting_class
MITF,2
MID1,2
MGAT2,2
MESP2,2
MCEE,2
MASP2,2
MAGEL2,2
LPL,2
LMBR1,2
LITAF,2
LIAS,2
LDHA,2
LBR,2
LARS2,2
LAMB1,2
KMT2A,2
KIAA2022,2
KCNJ8,2
KCNJ5,2
KCNJ1,2
KCNA1,2
ITK,2
ILK,2
IL36RN,2
IL2RA,2
IL21R,2
IFNGR1,2
HTRA1,2
HSPB8,2
HPN,2
HOGA1,2
HESX1,2
HDAC8,2
HCFC1,2
HBA2,2
HBA1,2
HARS,2
GTDC2,2
GPR179,2
GMPPB,2
GLUD1,2
GLIS3,2
GJA8,2
GFAP,2
GCNT2,2
FXN,2
FUT6,2
FOXI1,2
FMO3,2
FLVCR1,2
FLG,2
FHL1,2
FGD1,2
FBXO7,2
FAS,2
F2,2
F12,2
EXOSC3,2
ETFB,2
ERCC8,2
EPG5,2
ENO3,2
ELANE,2
EGFR,2
EDNRB,2
EBP,2
DUOX2,2
DNMT3A,2
DLG3,2
DHDDS,2
DFNB59,2
DEAF1,2
DCAF17,2
CYP21A2,2
CTF1,2
CSF3R,2
COLQ,2
COL9A3,2
COL18A1,2
COL12A1,2
COG1,2
CNNM4,2
CLDN14,2
CLCN4,2
CIB2,2
CHST14,2
CHRM2,2
CHMP2B,2
CHCHD10,2
CEP135,2
CECR1,2
CDKN2B-AS1,2
CDC6,2
CDAN1,2
CD3E,2
CASP10,2
CARD9,2
CAP1,2
CALR3,2
C6orf70,2
C12orf65,2
BMP15,2
BIVM-ERCC5,2
BCHE,2
BBS5,2
ARSE,2
ARSB,2
ARID1A,2
ARHGAP31,2
ANK1,2
ANG,2
AMPD2,2
AMACR,2
ALOXE3,2
ALOX12B,2
ALG2,2
ALG1,2
ALDH5A1,2
ALAS2,2
AKR1D1,2
AGTR2,2
AGPAT2,2
AFG3L2,2
ADAMTS13,2
ACTG1,2
ACTA1,2
ACOX1,2
ABHD14A-ACY1,2
ABCA12,2
ABCA1,2
A2ML1,2
ZNF674,1
ZNF41,1
ZNF335,1
ZNF276,1
ZFP57,1
ZBTB24,1
ZAP70,1
XPNPEP3,1
XPC,1
WNK4,1
WDR73,1
WDR45,1
VSX2,1
VRK2,1
VAX1,1
USP9X,1
UPF3B,1
UPB1,1
UNG,1
UNC119,1
UMPS,1
UMOD,1
UCP2,1
UCHL1,1
UBA1,1
TYK2,1
TUBB4A,1
TUBB2B,1
TUBB2A,1
TTBK2,1
TSPEAR,1
TRNT1,1
TREM2,1
TRAPPC2,1
TPM3,1
TPM2,1
TOR1A,1
TOE1,1
TNNT1,1
TNK2,1
TNFRSF13C,1
TNFRSF11B,1
TNFRSF11A,1
TMEM165,1
TMEM138,1
TIMP3,1
TIA1,1
THRB,1
THBD,1
TFG,1
TFAP2B,1
TDP1,1
TBXAS1,1
TBX19,1
TBX1,1
TBC1D20,1
TARDBP,1
TAP1,1
TAF1C,1
TACO1,1
SZT2,1
SUOX,1
STX16,1
STRC,1
STRADA,1
STIM1,1
STAR,1
SRD5A2,1
SPTLC2,1
SPRY4,1
SPG21,1
SP7,1
SP110,1
SOX3,1
SOX17,1
SOST,1
SOS2,1
SOD1,1
SNCAIP,1
SNCA,1
SNAPC5,1
SNAP29,1
SMAD6,1
SLC6A20,1
SLC6A1,1
SLC5A7,1
SLC52A2,1
SLC4A4,1
SLC39A8,1
SLC35D1,1
SLC33A1,1
SLC2A9,1
SLC25A46,1
SLC25A42,1
SLC25A4,1
SLC25A3,1
SLC25A20,1
SLC25A13,1
SLC24A1,1
SLC20A2,1
SLC10A2,1
SIX3,1
SIM1,1
SHROOM4,1
SHOC2,1
SFTPA1,1
SERPINF1,1
SERPINE1,1
SERPINB6,1
SERPINA7,1
SERPINA6,1
SEPT9,1
SEPSECS,1
SCO1,1
SCNN1A,1
SCN2B,1
SCN11A,1
SAMHD1,1
SAG,1
RUNX2,1
RUNX1,1
RTEL1,1
RRM2B,1
RPS6KA3,1
RPS26,1
RPS19,1
RPGR,1
RP9,1
RNASET2,1
RNASEH2C,1
RIPK4,1
RFXANK,1
RDH5,1
RAX2,1
RAB23,1
RAB18,1
QARS,1
PURA,1
PTH1R,1
PTCHD1,1
PSEN1,1
PSAP,1
PRSS56,1
PRSS12,1
PRPS1,1
PRPF8,1
PROP1,1
PROM1,1
PRKRA,1
PRKG1,1
PRKCSH,1
PRKCG,1
POU3F4,1
POLR1C,1
POGZ,1
PODXL,1
PNPLA8,1
PNKD,1
PLIN1,1
PLG,1
PLEKHG2,1
PLCB4,1
PLAU,1
PINK1,1
PIK3CA,1
PIGQ,1
PIGG,1
PHYH,1
PHKA1,1
PGM3,1
PGK1,1
PGAP3,1
PEX19,1
PEX16,1
PEPD,1
PDK3,1
PDE4D,1
PDCD10,1
PCK2,1
PCK1,1
PAX9,1
PAX8,1
PAX4,1
PARP10,1
PANK2,1
OTX2,1
OTOA,1
ORC6,1
ORC4,1
OPA3,1
OCLN,1
NTHL1,1
NR5A1,1
NR3C1,1
NR1H4,1
NPPA,1
NOS3,1
NOP10,1
NOG,1
NLRP7,1
NKX2-1,1
NEUROD1,1
NEK8,1
NDUFB9,1
NDUFAF4,1
NDUFAF2,1
NDUFA9,1
NDUFA2,1
NDUFA11,1
NDUFA1,1
NAGLU,1
MYOC,1
MYF6,1
MTOR,1
MTO1,1
MTHFR,1
MTFMT,1
MSTN,1
MSRB3,1
MSR1,1
MRPL3,1
MORC2,1
MN1,1
MMP13,1
